objectid,filename,title,card-type,illustrator,type,format,language
onr184,netrunner_euromarket_consortium.jpg,euromarket consortium,,,Image;StillImage,image/jpeg,en
onr185,netrunner_evil_twin.jpg,evil twin,,,Image;StillImage,image/jpeg,en
onr186,netrunner_executive_boot_camp.jpg,executive boot camp,,,Image;StillImage,image/jpeg,en
onr187,netrunner_executive_extraction.jpg,executive extraction,,,Image;StillImage,image/jpeg,en
onr188,netrunner_executive_file_clerk.jpg,executive file clerk,,,Image;StillImage,image/jpeg,en
onr189,netrunner_executive_wiretaps.jpg,executive wiretaps,,,Image;StillImage,image/jpeg,en
onr190,netrunner_expendable_family_member.jpg,expendable family member,,,Image;StillImage,image/jpeg,en
onr191,netrunner_experimental_ai.jpg,experimental ai,,,Image;StillImage,image/jpeg,en
onr192,netrunner_expert_schedule_analyzer.jpg,expert schedule analyzer,,,Image;StillImage,image/jpeg,en
onr193,netrunner_fait_accompli.jpg,fait accompli,,,Image;StillImage,image/jpeg,en
onr194,netrunner_faked_hit.jpg,faked hit,,,Image;StillImage,image/jpeg,en
onr195,netrunner_fall_guy.jpg,fall guy,,,Image;StillImage,image/jpeg,en
onr196,netrunner_false_echo.jpg,false echo,,,Image;StillImage,image/jpeg,en
onr197,netrunner_falsified-transactions_expert.jpg,falsified-transactions expert,,,Image;StillImage,image/jpeg,en
onr198,netrunner_fang.jpg,fang,,,Image;StillImage,image/jpeg,en
onr199,netrunner_fang_20.jpg,fang 20,,,Image;StillImage,image/jpeg,en
onr200,netrunner_fatal_attractor.jpg,fatal attractor,,,Image;StillImage,image/jpeg,en
onr201,netrunner_fetal_ai.jpg,fetal ai,,,Image;StillImage,image/jpeg,en
onr202,netrunner_fetch_401.jpg,fetch 401,,,Image;StillImage,image/jpeg,en
onr203,netrunner_field_reporter_for_ice_and_data.jpg,field reporter for ice and data,,,Image;StillImage,image/jpeg,en
onr204,netrunner_filter.jpg,filter,,,Image;StillImage,image/jpeg,en
onr205,netrunner_finders_keepers.jpg,finders keepers,,,Image;StillImage,image/jpeg,en
onr206,netrunner_fire_wall.jpg,fire wall,,,Image;StillImage,image/jpeg,en
onr207,netrunner_flak.jpg,flak,,,Image;StillImage,image/jpeg,en
onr208,netrunner_floating_runner_bbs.jpg,floating runner bbs,,,Image;StillImage,image/jpeg,en
onr209,netrunner_food_fight.jpg,food fight,,,Image;StillImage,image/jpeg,en
onr210,netrunner_force_shield.jpg,force shield,,,Image;StillImage,image/jpeg,en
onr211,netrunner_forged_activation_orders.jpg,forged activation orders,,,Image;StillImage,image/jpeg,en
onr212,netrunner_forgotten_backup_chip.jpg,forgotten backup chip,,,Image;StillImage,image/jpeg,en
onr213,netrunner_fortress_architects.jpg,fortress architects,,,Image;StillImage,image/jpeg,en
onr214,netrunner_fortress_respecification.jpg,fortress respecification,,,Image;StillImage,image/jpeg,en
onr215,netrunner_forwards_legacy.jpg,forwards legacy,,,Image;StillImage,image/jpeg,en
onr216,netrunner_fragmentation_storm.jpg,fragmentation storm,,,Image;StillImage,image/jpeg,en
onr217,netrunner_frame-up.jpg,frame-up,,,Image;StillImage,image/jpeg,en
onr218,netrunner_fubar.jpg,fubar,,,Image;StillImage,image/jpeg,en
onr219,netrunner_full_body_conversion.jpg,full body conversion,,,Image;StillImage,image/jpeg,en
onr220,netrunner_galatea.jpg,galatea,,,Image;StillImage,image/jpeg,en
onr221,netrunner_garbage_in.jpg,garbage in,,,Image;StillImage,image/jpeg,en
onr222,netrunner_gatekeeper.jpg,gatekeeper,,,Image;StillImage,image/jpeg,en
onr223,netrunner_genetics-visionary_acquisition.jpg,genetics-visionary acquisition,,,Image;StillImage,image/jpeg,en
onr224,netrunner_get_ready_to_rumble.jpg,get ready to rumble,,,Image;StillImage,image/jpeg,en
onr225,netrunner_gideons_pawnshop.jpg,gideons pawnshop,,,Image;StillImage,image/jpeg,en
